Villian,Age,Sex,Region
Poison Ivy,34,M,Midwest
Joker,34,M,Midwest
Riddler,34,M,Midwest
Catwoman,34,M,Midwest
Penguin,34,M,Midwest
Doomsday,39,m,southeast
Lex Luther,39,m,southeast
Darkseid,39,m,southeast
Bizzaro,39,m,southeast
Harley Quinn,39,m,southeast
Braniac,26,f,southeast
Reverse Flash,26,f,southeast
Joker,26,f,southeast
Deathstroke,26,f,southeast
Sinestro,26,f,southeast
Vandal Savage,26,f,southeast
Joker,28,M,Southeast
Mr. Freeze,28,M,Southeast
Red Hood,28,M,Southeast
Mad Hatter,28,M,Southeast
Bane,28,M,Southeast
Zod,39,m,southeast
Metallo,39,m,southeast
Brainiac,39,m,southeast
Joker,39,m,southeast
Bizzaro,39,m,southeast
Lex Luther,25,m,southeast
Black Adam,25,m,southeast
Trixter,25,m,southeast
Ocean Master,25,m,southeast
Sinestro,25,m,southeast
Lex Luther,26,f,southeast
Joker,26,f,southeast
Doomsday,26,f,southeast
Penguin,26,f,southeast
Zod,26,f,southeast
Scarecrow,39,m,southeast
Joker,39,m,southeast
Darkseid,39,m,southeast
Deathstroke,39,m,southeast
Ra's Al Ghul,39,m,southeast
Lex Luther,23,f,southeast
Joker,23,f,southeast
Ra's Al Ghul,23,f,southeast
Bane,23,f,southeast
Red Hood,23,f,southeast
Deathstroke,30,f,northeast
Darkseid,30,f,northeast
Lex Luther,30,f,northeast
Zod,30,f,northeast
Doomsday,30,f,northeast
Brainiac,36,m,southeast
Lex Luther,36,m,southeast
Joker,36,m,southeast
Ra's Al Ghul,36,m,southeast
Bane,36,m,southeast
Darkseid,31,m,midwest
Ra's Al Ghul,31,m,midwest
Joker,31,m,midwest
Darkseid,31,m,midwest
Lex Luther,31,m,midwest
Harley Quinn,27,m,southeast
Scarecrow,27,m,southeast
Bane,27,m,southeast
Talia Al Ghul,27,m,southeast
Ares,27,m,southeast
Riddler,43,m,midwest
Harley Quinn,43,m,midwest
Joker,43,m,midwest
Bane,43,m,midwest
Two-face,43,m,midwest
Lex Luther,30,f,northwest
Joker,30,f,northwest
Darkseid,30,f,northwest
Doomsday,30,f,northwest
Deathstroke,30,f,northwest
Riddler,51,m,southwest
Joker,51,m,southwest
Darkseid,51,m,southwest
Lex Luther,51,m,southwest
Scarecrow,51,m,southwest
Bizzaro,19,f,midwest
Lex Luther,19,f,midwest
Darkseid,19,f,midwest
Joker,19,f,midwest
Nekron,19,f,midwest
Brainiac,25,m,northeast
Poison Ivy,25,m,northeast
Joker,25,m,northeast
Riddler,25,m,northeast
Catwoman,25,m,northeast
Penguin,42,f,international
Doomsday,42,f,international
Lex Luther,42,f,international
Darkseid,42,f,international
Bizzaro,42,f,international
Brainiac,16,f,southeast
Reverse Flash,16,f,southeast
Joker,16,f,southeast
Deathstroke,16,f,southeast
Sinestro,16,f,southeast
Vandal Savage,,,
Joker,,,
Harley Quinn,,,
Scarecrow,,,
Manbat,,,
Darkseid,,,
Darkseid,,,
Doomsday,,,
Deathstroke,,,
Bane,,,
Black Adam,,,
Amazo,,,
Zod,,,
Joker,,,
Riddler,,,
Poison Ivy,,,
Penguin,,,
Black Mask,,,
Scarecrow,,,
Doomsday,,,
Bizzaro,,,
Brainiac,,,
Darkseid,,,
Chemo,,,
Ra's Al Ghul,,,
Reverse Flash,,,
Deathstroke,,,
Catwoman,,,
Black Manta,,,
Clock King,,,
Clayface,,,
Captain Cold,,,
Boomerang,,,
Carmine Falcone,,,
Joker,,,
Scarecrow,,,
Riddler,,,
Catwoman,,,
Professor Pyg,,,
Batman,,,
Ra's Al Ghul,,,
Joker,,,
Lady Shiva,,,
Bane ,,,
Penguin,,,
Zod,,,
Darkseid,,,
Mxyzpitlk,,,
Parasite,,,
Mogul,,,
Reverse Flash,,,
Sinestro,,,
Royal Flush Gang,,,
Amazo,,,
Ares,,,
Joker,,,
Azrael,,,
Reverse Flash,,,
Brainiac,,,
Lex Luther,,,
Joker,,,
Cheetah,,,
Brainiac,,,
Catwoman,,,
Black Adam,,,
Joker,,,
Bizzaro,,,
Mr. Freeze,,,
Reverse Flash,,,
Joker,,,
Zod,,,
Clayface,,,
Riddler,,,
Ra's Al Ghul,,,
Bane,,,
Penguin,,,
Joker,,,
Riddler,,,
Poison Ivy,,,
Catwoman,,,
Lex Luther,,,
Brainiac,,,
Silver Banshee,,,
Darkseid,,,
Bane,,,
Joker,,,
Deathstroke,,,
Darkseid,,,
Black Mask,,,
Deathstroke,,,
Zoom,,,
Doomsday,,,
Joker,,,
Darkseid,,,
Black Mantis,,,
Nekron,,,
Reverse Flash,,,
Deathstroke,,,
Riddler,,,
Zoom,,,
Zod,,,
Darkseid,,,
Damian Darhk,,,
Reign,,,
Riddler,,,
Joker,,,
Penguin,,,
Ra's Al Ghul,,,
Fish Mooney,,,
Riddler,,,
Two-face,,,
Catwoman,,,
Manbat,,,
Penguin,,,
Poison Ivy,,,
Joker,,,
Harley Quinn,,,
Bane,,,
Scarecrow,,,
Zod,,,
Darkseid,,,
Brainiac,,,
Lex Luther,,,
Joker,,,
Ra's Al Ghul,,,
Hugo Strange,,,
Darkseid,,,
Brainiac,,,
Reverse Flash,,,
Zod,,,
Joker,,,
Hush,,,
Harley Quinn,,,
Poison Ivy,,,
Scarecrow,,,
Joker,,,
Riddler,,,
Joker,,,
Lex Luther,,,
Deathstroke,,,
Ra's Al Ghul,,,
Scarecrow,,,
Lex Luther,,,
Joker,,,
Bane,,,
Poison Ivy,,,
Riddler,,,
Joker,,,
Lex Luther,,,
Harley Quinn,,,
Catwoman,,,
Reverse Flash,,,
Joker,,,
Penguin,,,
Lex Luther,,,
Riddler,,,
Mr. Freeze,,,
Joker,,,
Harley Quinn,,,
Poison Ivy,,,
Lex Luther,,,
Riddler,,,
Deathstroke,,,
Lex Luther,,,
Joker,,,
Scarecrow,,,
Ra's Al Ghul,,,
Darkseid,,,
Joker,,,
Lex Luther,,,
Red Hood,,,
Sinestro,,,
Brainiac,,,
Harley Quinn,,,
Joker,,,
Zod,,,
Zoom,,,
Reverse Flash,,,
Joker,,,
Darkseid,,,
Deathstroke,,,
Ra's Al Ghul,,,
Lex Luther,,,
Joker,,,
Ra's Al Ghul,,,
Bane,,,
Red Hood,,,
Deathstroke,,,
Darkseid,,,
Lex Luther,,,
Zod,,,
Doomsday,,,
Brainiac,,,
Chad,,,
Harley Quinn,,,
Joker,,,
Red Hood,,,
Zod,,,
Darkseid,,,
Harley Quinn,,,
Lex Luther,,,
Poison Ivy,,,
Harley Quinn,,,
Poison Ivy,,,
Scarecrow,,,
Joker,,,
Riddler,,,
Joker,,,
Lex Luther,,,
Deathstroke,,,
Ra's Al Ghul,,,
Scarecrow,,,
Lex Luther,,,
Joker,,,
Bane,,,
Poison Ivy,,,
Riddler,,,
Joker,,,
Lex Luther,,,
Harley Quinn,,,
Catwoman,,,
Reverse Flash,,,
Joker,,,
Penguin,,,
Lex Luther,,,
Riddler,,,
Mr. Freeze,,,
Joker,,,
Harley Quinn,,,
Poison Ivy,,,
Lex Luther,,,
Riddler,,,
Deathstroke,,,
Lex Luther,,,
Joker,,,
Scarecrow,,,
Ra's Al Ghul,,,
Darkseid,,,
Joker,,,
Lex Luther,,,
Red Hood,,,
Harley Quinn,,,
Joker,,,
Darkseid,,,
Doomsday,,,
Deathstroke,,,
Riddler,,,
Joker,,,
Darkseid,,,
Lex Luther,,,
Scarecrow,,,
Bizzaro,,,
Lex Luther,,,
Darkseid,,,
Joker,,,
Harley Quinn,,,
Brainiac,,,
Doomsday,,,
Poison Ivy,,,
Joker,,,
Vandal Savage,,,
Sinestro,,,
Riddler,,,
Catwoman,,,
Penguin,,,
Brainiac,,,
Bizzaro,,,
Reverse Flash,,,
Deathstroke,,,
Joker,,,
Lex Luther,,,
Doomsday,,,
Harley Quinn,,,
Scarecrow,,,
Joker,,,
Manbat,,,
Darkseid,,,
Doomsday,,,
Black Adam,,,
Zod,,,
Darkseid,,,
Bane,,,
Joker,,,
Doomsday,,,
Ra's Al Ghul,,,
Riddler,,,
Poison Ivy,,,
Bizzaro,,,
Brainiac,,,
Reverse Flash,,,
Deathstroke,,,
Penguin,,,
Black Mask,,,
Carmine Falcone,,,
Clock King,,,
Scarecrow,,,
Catwoman,,,
Black Manta,,,
Clayface,,,
Boomerang,,,
Captain Cold,,,
Black Manta,,,
Batman,,,
Joker,,,
Scarecrow,,,
Riddler,,,
Catwoman,,,
Ra's Al Ghul,,,
Zod,,,
Darkseid,,,
Joker,,,
Lady Shiva,,,
Parasite,,,
Amazo,,,
Ares,,,
Bane,,,
Mogul,,,
Reverse Flash,,,
Sinestro,,,
Royal Flush Gang,,,
Joker,,,
Azrael,,,
Batman,,,
Reverse Flash,,,
Brainiac,,,
Harley Quinn,,,
Joker,,,
Lex Luther,,,
Cheetah,,,
Joker,,,
Catwoman,,,
Brainiac,,,
Black Adam,,,
Reverse Flash,,,
Mr. Freeze,,,
Joker,,,
Bizzaro,,,
Joker,,,
Harley Quinn,,,
Poison Ivy,,,
Penguin,,,
Zoom,,,
Clayface,,,
Joker,,,
Zod,,,
Ra's Al Ghul,,,
Riddler,,,
Bane,,,
Joker,,,
Penguin,,,
Harley Quinn,,,
Poison Ivy,,,
Catwoman,,,
Lex Luther,,,
Silver Banshee,,,
Darkseid,,,
Brainiac,,,
Bane,,,
Joker,,,
Deathstroke,,,
Batman,,,
Black Mask,,,
Darkseid,,,
Zoom,,,
Doomsday,,,
Deathstroke,,,
Harley Quinn,,,
Joker,,,
Darkseid,,,
Black Mantis,,,
Reverse Flash,,,
Deathstroke,,,
Riddler,,,
Reverse Flash,,,
Joker,,,
Harley Quinn,,,
Poison Ivy,,,
Zoom,,,
Zod,,,
Darkseid,,,
Damien Darhk,,,
Reign,,,
Riddler,,,
Joker,,,
Penguin,,,
Ra's Al Ghul,,,
Fish Mooney,,,
Riddler,,,
Manbat,,,
Two-face,,,
Catwoman,,,
Penguin,,,
Poison Ivy,,,
Joker,,,
Scarecrow,,,
Bane,,,
Harley Quinn,,,
Zod,,,
Darkseid,,,
Brainiac,,,
Lex Luther,,,
Ra's Al Ghul,,,
Hugo Strange,,,
Joker,,,
Lex Luther,,,
Darkseid,,,
Harley Quinn,,,
Darkseid,,,
Brainiac,,,
Reverse Flash,,,
Zod,,,
Joker,,,
Hush,,,
Doomsday,,,
Penguin,,,
Zod,,,
Lex Luther,,,
Joker,,,
Darkseid,,,
Ra's Al Ghul,,,
Bane,,,
Deathstroke,,,
Ra's Al Ghul,,,
Lex Luther,,,
Bane,,,
Red Hood,,,
Deathstroke,,,
Darkseid,,,
Lex Luther,,,
Zod,,,
Doomsday,,,
Brainiac,,,
Lex Luther,,,
Ra's Al Ghul,,,
Bane,,,
Darkseid,,,
Joker,,,
Joker,,,
Darkseid,,,
Ra's Al Ghul,,,
Harley Quinn,,,
Lex Luther,,,
Bane,,,
Scarecrow,,,
Talia Al Ghul,,,
Ares,,,
Riddler,,,
Bane,,,
Two-face,,,
Joker,,,
Harley Quinn,,,
Lex Luther,,,
Deathstroke,,,
Ra's Al Ghul,,,
Lex Luther,,,
Bane,,,
Red Hood,,,
Deathstroke,,,
Darkseid,,,
Lex Luther,,,
Zod,,,
Doomsday,,,
Brainiac,,,
Lex Luther,,,
Ra's Al Ghul,,,
Bane,,,
Darkseid,,,
Joker,,,
Joker,,,
Darkseid,,,
Ra's Al Ghul,,,
Harley Quinn,,,
Reign,,,
Riddler,,,
Joker,,,
Penguin,,,
Ra's Al Ghul,,,
Fish Mooney,,,
Riddler,,,
Manbat,,,
Two-face,,,
Catwoman,,,
Joker,,,
Penguin,,,
Harley Quinn,,,
Poison Ivy,,,
Catwoman,,,
Lex Luther,,,
Silver Banshee,,,
Darkseid,,,
Brainiac,,,
Bane,,,
Joker,,,
Deathstroke,,,
Batman,,,
Black Mask,,,
Darkseid,,,
Zoom,,,
Doomsday,,,
Deathstroke,,,
Harley Quinn,,,
Joker,,,
Darkseid,,,
Lex Luther,,,
Scarecrow,,,
Bizzaro,,,
Lex Luther,,,
Darkseid,,,
Joker,,,
Harley Quinn,,,
Brainiac,,,
Doomsday,,,
Poison Ivy,,,
Joker,,,
Vandal Savage,,,
Sinestro,,,
Riddler,,,
Catwoman,,,
Penguin,,,
Brainiac,,,
Bizzaro,,,
Reverse Flash,,,
Deathstroke,,,
Darkseid,,,
Doomsday,,,
Deathstroke,,,
Riddler,,,
Joker,,,
Darkseid,,,
Lex Luther,,,
Scarecrow,,,
Bizzaro,,,
Lex Luther,,,
Darkseid,,,
Joker,,,
Harley Quinn,,,
Brainiac,,,
Doomsday,,,
Poison Ivy,,,
Joker,,,
Vandal Savage,,,
Sinestro,,,
Riddler,,,
Catwoman,,,
Penguin,,,
Brainiac,,,
Joker,,,
Riddler,,,
Catwoman,,,
Penguin,,,
Doomsday,,,
Lex Luther,,,
Darkseid,,,
Bizzaro,,,
Harley Quinn,,,
Braniac,,,
Reverse Flash,,,
Joker,,,
Deathstroke,,,
Sinestro,,,
Vandal Savage,,,
Joker,,,
Mr. Freeze,,,
Red Hood,,,
Mad Hatter,,,
Bane,,,
Zod,,,
Metallo,,,
Brainiac,,,
Joker,,,
Bizzaro,,,
Lex Luther,,,
Black Adam,,,
Harley Quinn,,,
Darkseid,,,
Doomsday,,,
Deathstroke,,,
Bane,,,
Black Adam,,,
Amazo,,,
Zod,,,
Joker,,,
Riddler,,,
Poison Ivy,,,
Penguin,,,
Black Mask,,,
Scarecrow,,,
Doomsday,,,
Bizzaro,,,
Brainiac,,,
Darkseid,,,
Chemo,,,
Ra's Al Ghul,,,
Reverse Flash,,,
Deathstroke,,,
Catwoman,,,
Black Manta,,,
Clock King,,,
Clayface,,,
Captain Cold,,,
Boomerang,,,
Carmine Falcone,,,
Joker,,,
Scarecrow,,,
Mr. Freeze,,,
Red Hood,,,
Mad Hatter,,,
Bane,,,
Zod,,,
Metallo,,,
Brainiac,,,
Joker,,,
Bizzaro,,,
Lex Luther,,,
Black Adam,,,
Trixter,,,
Ocean Master,,,
Sinestro,,,
Lex Luther,,,
Joker,,,
Doomsday,,,
Penguin,,,
Zod,,,
Scarecrow,,,
Joker,,,
Darkseid,,,
Deathstroke,,,
Ra's Al Ghul,,,
Lex Luther,,,
Joker,,,
Ra's Al Ghul,,,
Bane,,,
Red Hood,,,
Deathstroke,,,
Darkseid,,,
Lex Luther,,,
Zod,,,
Doomsday,,,
Brainiac,,,
Lex Luther,,,
Joker,,,
Ra's Al Ghul,,,
Bane,,,
Darkseid,,,
Ra's Al Ghul,,,
Reverse Flash,,,
Sinestro,,,
Royal Flush Gang,,,
Joker,,,
Azrael,,,
Batman,,,
Reverse Flash,,,
Brainiac,,,
Harley Quinn,,,
Joker,,,
Lex Luther,,,
Cheetah,,,
Joker,,,
Catwoman,,,
Brainiac,,,
Black Adam,,,
Reverse Flash,,,
Mr. Freeze,,,
Joker,,,
Harley Quinn,,,
Zoom,,,
Zod,,,
Harley Quinn,,,
Joker,,,
Bane,,,
Two-face,,,
Lex Luther,,,
Scarecrow,,,
Bane,,,
Ra's Al Ghul,,,
Ares,,,
Riddler,,,
Harley Quinn,,,
Lex Luther,,,
Darkseid,,,
Joker,,,
Ra's Al Ghul,,,
Brainiac,,,
Doomsday,,,
Zod,,,
Lex Luther,,,
Darkseid,,,
Deathstroke,,,
Red Hood,,,
Bane,,,
Ra's Al Ghul,,,
Joker,,,
Lex Luther,,,
Ra's Al Ghul,,,
Deathstroke,,,
Darkseid,,,
Joker,,,
Zod,,,
Joker,,,
Doomsday,,,
Lex Luther,,,
Penguin,,,
Joker,,,
Zod,,,
Reverse Flash,,,
Brainiac,,,
Darkseid,,,
Hugo Strange,,,
Ra's Al Ghul,,,
Joker,,,
Lex Luther,,,
Brainiac,,,
Darkseid,,,
Zod,,,
Harley Quinn,,,
Poison Ivy,,,
Catwoman,,,
Scarecrow,,,
Bane,,,
Harley Quinn,,,
Joker,,,
Poison Ivy,,,
Penguin,,,
Catwoman,,,
Manbat,,,
Two-face,,,
Riddler,,,
Ra's Al Ghul,,,
Penguin,,,
Joker,,,
Riddler,,,
Captain Cold,,,
Damian Darhk,,,
Darkseid,,,
Zoom,,,
Zod,,,
Anti-Monitor,,,
Riddler,,,
Deathstroke,,,
Reverse Flash,,,
Black Mantis,,,
Darkseid,,,
Joker,,,
Doomsday,,,
Zoom,,,
Deathstroke,,,
Darkseid,,,
Deathstroke,,,
Joker,,,
Bane,,,
Zoom,,,
Trickster,,,
Grodd,,,
Joker,,,
Savitar,,,
Captain Cold,,,
Heat Wave,,,
Killer Frost,,,
Thinker,,,
King Shark,,,
Anti-Monitor,,,
Deathstroke,,,
Ra's Al Ghul,,,
Cupid,,,
Prometheus,,,
Joker,,,
Darkseid,,,
Deathstroke,,,
Lex Luther,,,
Deadshot,,,
Amanda Waller,,,
Royal Flush Gang,,,
Huntress,,,
Deathstroke,,,
Joker,,,
Darkseid,,,
Zod,,,
Zoom,,,
Brother Blood,,,
Ra's Al Ghul,,,
Talia Al Ghul,,,
Nyssa Al Ghul,,,
Captain Boomerang,,,
Cupid,,,
Zoom,,,
Savitar,,,
Vandal Savage,,,
Calculator,,,
Prometheus,,,
Black Siren,,,
Harley Quinn,,,
Poison Ivy,,,
Helix,,,
Bane,,,
Alice,,,
Anti-Monitor,,,
Bloody Mary,,,
Harley Quinn,,,
Mute,,,
Penguin,,,
Riddler,,,
Savior,,,
Zoom,,,
Trajectory,,,
Black Flash,,,
Black Siren,,,
Thinker,,,
King Shark,,,
Heat Wave,,,
Reverse Flash,,,
Brainiac,,,
Black Adam,,,
Reverse Flash,,,
Mr. Freeze,,,
Joker,,,
Harley Quinn,,,
Zoom,,,
Zod,,,
Harley Quinn,,,
Joker,,,
Bane,,,
Two-face,,,
Lex Luther,,,
Scarecrow,,,
Bane,,,
Ra's Al Ghul,,,
Ares,,,
Riddler,,,
Harley Quinn,,,
Lex Luther,,,
Darkseid,,,
Joker,,,
Ra's Al Ghul,,,
Brainiac,,,
Doomsday,,,
Zod,,,
Lex Luther,,,
Darkseid,,,
Deathstroke,,,
Darkseid,,,
Doomsday,,,
Deathstroke,,,
Bane,,,
Black Adam,,,
Amazo,,,
Zod,,,
Joker,,,
Riddler,,,
Poison Ivy,,,
Penguin,,,
Black Mask,,,
Scarecrow,,,
Doomsday,,,
Bizzaro,,,
Brainiac,,,
Darkseid,,,
Chemo,,,
Ra's Al Ghul,,,
Reverse Flash,,,
Deathstroke,,,
Catwoman,,,
Black Manta,,,
Clock King,,,
Clayface,,,
Captain Cold,,,
Boomerang,,,
Carmine Falcone,,,
Joker,,,
Darkseid,,,
Lex Luther,,,
Scarecrow,,,
Bizzaro,,,
Lex Luther,,,
Darkseid,,,
Joker,,,
Harley Quinn,,,
Brainiac,,,
Doomsday,,,
Poison Ivy,,,
Joker,,,
Vandal Savage,,,
Sinestro,,,
Riddler,,,
Catwoman,,,
Penguin,,,
Brainiac,,,
Joker,,,
Riddler,,,
Catwoman,,,
Penguin,,,
Doomsday,,,
Lex Luther,,,
Darkseid,,,
Bizzaro,,,
Harley Quinn,,,
Braniac,,,
Reverse Flash,,,
